Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
57470,U137,Anemone,1ywWkEeS6U2BXOkZL1fucB,28,2013,ambient,0.461,0.358,0,-11.69,1,0.0315,0.92,0.985,0.155,0.073,109.985,247091,4
57478,U137,The Nostalgic Tune,1K8QWIWFBkJbF56DgsS03p,29,2013,ambient,0.516,0.176,6,-14.928,1,0.0651,0.952,0.0424,0.11,0.0392,111.055,91895,4
57479,U137,Let Me Keep This Memory,68VSV9DQESOHiEtoPvNK3n,29,2013,ambient,0.339,0.358,8,-7.404,1,0.031,0.676,0.469,0.0804,0.0372,94.979,240000,3
57480,U137,Midsummer Field,3BQI7i7SnU1UNHETx7l6KD,27,2013,ambient,0.258,0.389,3,-7.439,1,0.0333,0.779,0.903,0.11,0.0585,120.444,288868,3
57558,U137,The Poet,6GrY9oRYiLeHEslwU4yQ4S,26,2013,ambient,0.372,0.419,9,-8.892,1,0.0326,0.852,0.925,0.113,0.039,119.994,276158,3
62907,Johann Christian Bach,"Keyboard Concerto in E-Flat Major, Op. 7, No. 5, W. C59: II. Andante",2YC6GfJ4Bl25Lob1g7mc2h,32,2013,classical,0.23,0.0361,0,-28.25,0,0.0482,0.983,0.915,0.154,0.109,84.56,385000,4
62917,Johann Christian Bach,"Keyboard Concerto in E-Flat Major, Op. 7, No. 5, W. C59: III. Allegro",1TDj2hFXJeJ4J7zHalvj71,33,2013,classical,0.425,0.193,3,-23.925,1,0.0532,0.982,0.898,0.0907,0.32,138.91,200733,1
63216,Johann Christian Bach,"Keyboard Concerto in D Major, Op. 7, No. 3, W. C57: II. Rondeau: Allegretto",01SvJI1fFSvcRLqvgFABs9,23,2013,classical,0.362,0.0638,2,-22.031,1,0.036,0.987,0.871,0.0851,0.366,142.213,317000,4
63437,Jennifer Higdon,blue cathedral,6fseD4FH3NiAFn7IiW9oHq,14,2013,classical,0.181,0.122,5,-22.942,1,0.042,0.89,0.534,0.0886,0.0377,103.266,627547,1
63590,Germaine Tailleferre,Tailleferre: Valse lente,7byAeu8dFTM3rqP2hBOQbM,19,2013,classical,0.372,0.0272,2,-26.616,1,0.0414,0.995,0.919,0.0823,0.0356,59.566,94960,3
66902,Iggy Azalea,Change Your Life,7FGFtUdUGrwQxFKVtQASS2,29,2013,dance,0.673,0.773,6,-5.545,0,0.22,0.0206,0.0,0.12,0.686,132.008,220749,4
67941,Suffocation,As Grace Descends,6mkGQ9tHzVUVQidmt6gM3y,34,2013,death-metal,0.417,0.982,1,-4.609,1,0.18,8.53e-06,0.506,0.372,0.2,105.962,184893,4
68146,Suffocation,Purgatorial Punishment,35w2IMJSo8oC2p3P8mCQRt,22,2013,death-metal,0.273,0.974,6,-4.721,1,0.146,4.42e-05,0.8,0.407,0.166,106.161,164720,3
68216,Suffocation,Cycles of Suffering,54RDUeWJ41c3qAlMnKQ2FR,20,2013,death-metal,0.403,0.974,3,-4.297,0,0.0919,4.1e-05,0.917,0.362,0.197,105.835,236107,3
68277,Suffocation,Eminent Wrath,1RdxCO6DVLqmRh4GNvHtYi,19,2013,death-metal,0.452,0.978,9,-4.621,1,0.116,0.00024,0.517,0.302,0.227,105.95,220427,4
68286,Suffocation,Sullen Days,5b9utp7EzAyvXjrwDd98Rf,18,2013,death-metal,0.358,0.987,6,-5.149,0,0.215,0.00117,0.602,0.129,0.0732,150.36,297480,3
68360,Suffocation,Pinnacle of Bedlam,1LafRZwGqEI79NlthlDLZS,17,2013,death-metal,0.29,0.989,9,-4.492,1,0.115,8.38e-05,0.21,0.344,0.16,105.953,222867,3
68378,Suffocation,My Demise,2izgV1PbHurl6NGXzDOxcP,16,2013,death-metal,0.221,0.971,4,-4.782,1,0.198,0.00017,0.336,0.246,0.185,74.097,243920,3
68478,Suffocation,Beginning of Sorrow,20AUBxSTXlJQ4uXOQnLVwF,14,2013,death-metal,0.268,0.99,1,-4.917,0,0.118,0.000147,0.566,0.339,0.222,106.367,272840,3
68514,Suffocation,Rapture of Revocation,1eQvE4IR9liNXSo5WJnQyE,14,2013,death-metal,0.341,0.957,4,-4.808,1,0.15,6.65e-05,0.389,0.271,0.212,112.414,229040,4
68550,Suffocation,Inversion,3TIePZ6RtvQkD9QMtbrAJ2,14,2013,death-metal,0.274,0.975,2,-4.515,1,0.191,4.4e-05,0.843,0.318,0.136,110.768,230000,4
69247,Joey Negro,Do What You Feel - Dave Lee Revival Mix,6SXgaPsOe2oopZQoHQy3h3,19,2013,deep-house,0.772,0.67,6,-8.169,1,0.0485,0.000602,0.255,0.0902,0.848,121.984,350164,4
69333,Joey Negro,Taste the Groove - Hot Toddy Remix,6Im14v5LKHUB6OUVA5s2tM,16,2013,deep-house,0.893,0.525,11,-9.383,0,0.172,0.0038,0.0418,0.0432,0.359,114.0,405515,4
69446,Joey Negro,the Secret Life of Us - Frankie Knuckles & Eric Kupper's Director's Cut Mix,7oGHk1oV75xpM2oXnjE4m3,6,2013,deep-house,0.673,0.714,9,-7.446,1,0.0334,0.00388,0.411,0.492,0.5,124.003,425806,4
69619,Joey Negro,The Secret Life of Us - Director's Cut Signature Mix,3AibbLvLseqMu5OO566s11,8,2013,deep-house,0.665,0.729,9,-7.365,1,0.0334,0.00554,0.443,0.0926,0.509,123.996,471754,4
75107,Josephine Foster,I'm a Dreamer,6D0tsq0t9oqBs6i7NSoZCJ,30,2013,folk,0.56,0.0574,10,-13.737,1,0.033,0.948,2.09e-05,0.113,0.194,94.507,218440,4
78376,Sido,Liebe,5cBx2v7XJSErfesDmgNtr2,60,2013,german,0.522,0.815,6,-6.032,1,0.293,0.0574,0.0,0.172,0.627,171.965,195416,4
78520,Sido,Einer dieser Steine,2to0CcdUoQsqBWGOU7uYo3,50,2013,german,0.776,0.464,0,-9.209,1,0.0372,0.379,2.34e-05,0.135,0.673,127.994,236629,4
80725,Lack Of Interest,Tables Turned,20bD0eTA7HXHKkTnIHkdmN,12,2013,grindcore,0.36,0.921,6,-9.321,1,0.184,0.000272,0.481,0.663,0.496,94.124,36454,3
80750,Lack Of Interest,Resist and Conquer,6meikf1AqHNno9GGy47tXG,10,2013,grindcore,0.324,0.908,2,-9.406,1,0.0731,4.81e-05,0.0365,0.717,0.451,96.562,58002,5
80765,Lack Of Interest,"All That's Lost in Your Life, I'll Help You Find",202Z8syQwIhYBuruddqRbR,10,2013,grindcore,0.252,0.913,1,-8.85,1,0.0886,5.92e-05,0.241,0.748,0.829,177.135,52685,4
80782,Lack Of Interest,Fear None,2d7BntzPIRdPYrID7DWucC,9,2013,grindcore,0.265,0.933,11,-9.645,0,0.172,6.63e-05,0.123,0.668,0.101,143.267,55610,4
80810,Lack Of Interest,Grown to Sicken,1gQJ3dFqGxhSWFsy2AWZEw,8,2013,grindcore,0.343,0.917,11,-9.141,1,0.0773,0.000102,0.00123,0.398,0.473,96.257,50409,4
80901,Lack Of Interest,Happy Faces,2M8UR4uEhoOJiwpu17vOqj,3,2013,grindcore,0.343,0.889,2,-9.536,1,0.142,0.00201,0.0169,0.298,0.0845,113.152,91903,4
80902,Lack Of Interest,Sweet Bitter Taste,2cklGCsjX8YzFf2yLRA93I,3,2013,grindcore,0.447,0.908,9,-8.323,0,0.0777,0.000133,0.0109,0.433,0.616,101.741,50664,4
80903,Lack Of Interest,Live to Fight*,6q3ADhTRY9deeTIqnXCh4R,3,2013,grindcore,0.368,0.831,2,-9.037,1,0.0994,1.83e-05,0.000888,0.132,0.452,97.615,65340,4
81399,Lack Of Interest,Chasing a Hearse,0AWKgpWq6jbnSRQ6GQXvgQ,0,2013,grindcore,0.272,0.858,2,-9.028,1,0.0775,3.19e-06,0.911,0.37,0.818,158.174,26818,3
81403,Lack Of Interest,Losing Streak*,6LCptJbJbP56XiaVibzog0,0,2013,grindcore,0.352,0.946,7,-9.033,1,0.0839,6.31e-06,0.59,0.725,0.276,92.911,24380,4
81863,Soul Brothers Inc.,Pyramid,3UkRjecff8tW8M0W8baV9W,3,2013,groove,0.545,0.619,4,-8.858,0,0.0549,0.903,0.0283,0.318,0.71,121.697,142933,4
82103,Soul Brothers Inc.,Girl In The Hot Pants,2W9Cb1GGTUxbByUehd9inP,0,2013,groove,0.64,0.879,11,-5.342,0,0.0533,0.126,0.000131,0.315,0.934,102.961,152667,4
93604,bo en,My Time,0wZUJxxybEiafs0BIg9SAP,61,2013,pop,0.445,0.361,5,-7.503,1,0.0941,0.608,0.0,0.112,0.0677,119.797,313969,4
93637,bo en,Every Day,2pxftVTI1ACfpvcryvebxd,56,2013,pop,0.646,0.671,2,-8.499,0,0.0497,0.288,0.0024,0.118,0.586,91.507,152250,4
93754,bo en,Pale Machine,0UeTH2N7EddbhCP7wnRk7E,47,2013,pop,0.676,0.569,0,-8.022,1,0.0498,0.152,0.0127,0.164,0.338,139.983,277594,4
93818,Falguni Pathak,Maine Payal Hai Chhankai,51EUKH2M1QGN50iGUlnxmU,61,2013,pop-film,0.651,0.708,4,-12.389,1,0.0512,0.0819,0.00301,0.0782,0.734,90.037,279027,4
93868,Falguni Pathak,Saawan Mein,4F980Cg1WU6owq3V1fOBSN,51,2013,pop-film,0.749,0.774,7,-9.928,1,0.0847,0.101,0.0,0.0881,0.729,96.007,295467,4
93875,Falguni Pathak,O Piya,0MZRhgqbaDYPCk06rieFzu,47,2013,pop-film,0.674,0.464,10,-12.52,1,0.049,0.495,2.52e-06,0.066,0.727,137.967,289507,4
93882,Falguni Pathak,Meri Chunar Udd Udd Jaye,60idZBR2bV2PJxtdgleW0a,44,2013,pop-film,0.667,0.622,1,-10.821,1,0.0434,0.088,0.000532,0.0542,0.521,94.955,409867,4
93892,Falguni Pathak,Yeh Kisne Jadu Kiya,2S6yI2LnAzPkt2e19zs9CG,49,2013,pop-film,0.615,0.467,10,-8.843,1,0.0551,0.738,1.36e-05,0.122,0.811,84.94,298587,4
93901,Falguni Pathak,Aiyo Rama,2CuG8hmZvci6dGEmBBmN3P,47,2013,pop-film,0.755,0.539,3,-12.976,0,0.107,0.106,2.93e-06,0.0549,0.796,91.002,286933,4
93956,Falguni Pathak,Mar Jani Jhanjar,2or6CH8MPcIFSzSCRmyh0W,49,2013,pop-film,0.734,0.751,6,-12.059,0,0.0973,0.228,4.44e-06,0.0495,0.862,80.969,262720,4
93960,Falguni Pathak,Indhana Winva,585XQXZCf3uh4qEQT8GSGm,38,2013,pop-film,0.709,0.496,11,-13.72,1,0.0451,0.561,5.79e-05,0.1,0.748,109.96,263693,4
94266,Falguni Pathak,Mera Kajal,6Vjc9unvPWNAGG6KgeDHDV,21,2013,pop-film,0.636,0.819,5,-8.701,1,0.0584,0.0385,0.000456,0.0681,0.833,179.938,311640,4
99361,Elza Soares,Avenida Iluminada,4nvLkkNIJss0ZgdWFzio6b,50,2013,samba,0.613,0.119,6,-14.532,1,0.0467,0.938,0.0112,0.374,0.49,95.529,109657,4
99364,Elza Soares,Canto de Ossanha,6aiLShKZBAi9z8LoSmB32b,41,2013,samba,0.667,0.195,2,-16.994,1,0.107,0.915,0.00672,0.193,0.244,102.791,146814,4
99368,Elza Soares,Mascara Negra,7qVKUIy0YkXcUDPPw99Ssb,37,2013,samba,0.626,0.138,5,-15.499,0,0.0742,0.896,0.0488,0.123,0.468,112.338,154851,4
99382,Elza Soares,Garota Moderna,4DdUql6FsKkD5WRLDeBRN8,25,2013,samba,0.72,0.216,6,-17.211,0,0.0736,0.948,0.0494,0.145,0.582,101.005,181832,4
99395,Elza Soares,Upa Neguinho,03nB47DVToZngR70xRrM3l,21,2013,samba,0.746,0.28,7,-17.49,1,0.188,0.867,0.0796,0.767,0.569,94.244,89729,4
99413,Elza Soares,Que Maravilha,3Bi7dVXxQqOSsnSIRtRNVO,18,2013,samba,0.747,0.258,5,-16.629,0,0.0676,0.931,0.0255,0.343,0.549,104.636,94918,4
99422,Elza Soares,Levanta a Cabeça,6Svgwvg97R1usU6QYpImQK,15,2013,samba,0.651,0.196,6,-17.482,1,0.418,0.951,0.184,0.195,0.654,87.188,145794,4
99425,Elza Soares,Che meraviglia,3xyA73kA0nSK3eqWOmV2x3,13,2013,samba,0.516,0.472,0,-9.878,1,0.111,0.842,0.000122,0.169,0.492,95.791,198993,4
99451,Elza Soares,Maschera negra,5QCsV8sXfCz74wEiY9qJD4,11,2013,samba,0.649,0.805,5,-7.778,1,0.0593,0.55,0.000391,0.654,0.96,119.445,193373,4
105416,Sicario,Terrores De La Zona,2Y0WtDCE9jHWrqUXS2u0tM,16,2013,spanish,0.656,0.629,0,-9.562,1,0.157,0.0248,0.0,0.238,0.397,86.971,175880,4
105827,O-Hund,Ika I Rutan,3TFaWxFeL7LWJ9nOEhOWTy,13,2013,swedish,0.805,0.856,7,-5.336,0,0.264,0.083,0.0,0.0973,0.697,90.048,272160,4
107046,Space Trax,"Atomic Playboy - Original 12"" Version",7IrRNZ4qVFI31rZjhyV0CN,15,2013,techno,0.704,0.854,8,-9.351,1,0.0445,0.00452,0.761,0.129,0.312,126.061,409000,4
110019,Shawn McDonald,We Are Brave,6mEINGDE1N3hOOCm41I25a,39,2014,alt-rock,0.598,0.81,0,-4.169,1,0.0289,0.000141,0.0,0.348,0.95,126.009,221493,4
110275,Shawn McDonald,Through It All,4itx5GMRN6QMjkLuUZug1j,35,2014,alt-rock,0.612,0.63,0,-7.558,1,0.045,0.0324,0.0,0.114,0.568,153.955,205067,4
