Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
141324,Noisuf-X,Invasion,7HrB7O1PoDFzlnN4Z7RUz3,13,2014,industrial,0.576,0.998,10,-5.078,0,0.0704,0.0447,0.0275,0.326,0.279,144.006,237853,4
141375,Noisuf-X,Hall of the Mountain King,4X9X3TNDMSg03wWYouJrLv,11,2014,industrial,0.515,0.992,11,-4.067,0,0.0908,0.00517,0.881,0.0799,0.955,74.998,288720,4
141500,Noisuf-X,Egomaniac,2JYBzRDW2pqklEGniaf9lD,8,2014,industrial,0.689,0.999,8,-3.781,0,0.0669,0.001,0.576,0.0576,0.675,140.009,228893,4
141530,16Volt,Ever Careful,4jXQM989NhH4zjH9S8djrO,2,2014,industrial,0.491,0.861,1,-3.941,1,0.036,0.000531,0.0485,0.458,0.937,159.989,185989,4
141531,16Volt,Disarm,1OkMO1WPn97XuQIve3wICd,3,2014,industrial,0.557,0.766,7,-3.655,1,0.0263,0.00103,0.237,0.223,0.0619,140.001,214653,4
141614,Noisuf-X,Let's Get Started,5b5qq9YQQYN6jBHyOPFlz7,8,2014,industrial,0.586,0.992,0,-4.367,1,0.0545,0.0163,0.843,0.256,0.592,139.983,251080,4
141615,Noisuf-X,Menschen 2.0,3YY0JC5MnPPr0dYvQykXK2,4,2014,industrial,0.571,0.957,10,-4.423,0,0.075,0.0543,0.0607,0.0856,0.902,110.006,242467,4
141618,Noisuf-X,Shit on Cyborgs,4DcjrFQ0ze9W7BBVdZXmFL,7,2014,industrial,0.49,0.975,7,-4.724,1,0.0607,0.00491,0.804,0.528,0.403,150.01,251707,4
141622,Noisuf-X,I Am Like God,6dUcRZQ3F3U8f6y1RX4UjM,6,2014,industrial,0.544,0.988,6,-3.419,0,0.0729,0.025,0.00151,0.104,0.772,75.991,283107,4
141732,Taylor McFerrin,Degrees of Light,0LVXBYDm3GVcdtBSRH0vlI,39,2014,jazz,0.671,0.562,1,-8.75,1,0.041,0.0877,0.068,0.0857,0.381,136.031,168047,4
141808,Taylor McFerrin,Decisions,0qVqPax5WN94YgiyI7qypO,34,2014,jazz,0.629,0.463,6,-13.207,0,0.13,0.35,0.435,0.13,0.431,128.016,194912,4
141877,Taylor McFerrin,Already There,7HfsXxbW3WPlpmNqJpDKLm,31,2014,jazz,0.298,0.821,5,-9.76,0,0.0414,0.46,0.956,0.114,0.704,137.476,179989,4
141896,Leslie Odom Jr.,Autumn Leaves,6Gg1JmIwVJLmROjMFWl2tz,27,2014,jazz,0.456,0.547,7,-11.957,0,0.0292,0.8,0.0,0.0926,0.492,89.325,191213,4
141901,Taylor McFerrin,The Antidote,3HiXSZbSfCRvq4uXRjfexb,31,2014,jazz,0.546,0.735,1,-8.733,0,0.0615,0.139,0.00577,0.184,0.453,134.197,185810,4
141908,Taylor McFerrin,Place in My Heart,6sz0fwdONBDxML8l9JcepX,34,2014,jazz,0.689,0.613,8,-8.714,0,0.0273,0.505,0.55,0.123,0.414,112.991,296590,1
141975,Taylor McFerrin,Blind Aesthetics,4G7nIyNdTUFPgGwty0uey5,27,2014,jazz,0.377,0.485,9,-15.1,1,0.0503,0.615,0.886,0.508,0.164,106.273,69969,3
141983,Leslie Odom Jr.,Nobody Knows You (When You're Down and Out),1cj4TBa6JLzucoaiwdDGKo,26,2014,jazz,0.33,0.094,7,-16.914,1,0.0353,0.984,0.178,0.109,0.118,169.834,199960,4
142017,Taylor McFerrin,Florasia,2hAJTXALzaaM39u5FJcmAl,27,2014,jazz,0.473,0.512,4,-8.084,1,0.0458,0.465,0.228,0.11,0.249,81.741,256717,4
142020,Leslie Odom Jr.,Cheer Up Charlie,2y5yjBILD5C0eHMSjRkN91,24,2014,jazz,0.518,0.177,5,-16.289,0,0.0495,0.609,0.0,0.157,0.336,125.287,165040,5
142033,Leslie Odom Jr.,Brazil (Aquarela Do Brasil),7sTpltlu1xHl053mrCt8hx,24,2014,jazz,0.603,0.621,7,-10.356,1,0.0489,0.785,0.147,0.0766,0.727,106.046,163973,4
142036,Leslie Odom Jr.,"Joey, Joey, Joey",35N8WPfwILZpJ8Z6kIy960,22,2014,jazz,0.532,0.254,8,-14.43,1,0.0381,0.83,0.000206,0.088,0.201,91.152,254693,4
142037,Leslie Odom Jr.,Look For The Silver Lining,0rASa8NKR21c8peEpjCA4E,23,2014,jazz,0.537,0.364,9,-11.604,0,0.0323,0.662,0.00588,0.0722,0.517,108.535,261800,4
142089,Leslie Odom Jr.,The Guilty Ones,363LBt7PPC29EIuHev1W7O,22,2014,jazz,0.544,0.453,5,-12.206,1,0.0496,0.683,0.000527,0.195,0.365,92.844,162560,4
142182,Leslie Odom Jr.,Love Look Away,0Xiig4eg5eFydAtWzQxskV,20,2014,jazz,0.657,0.403,8,-10.618,1,0.0377,0.652,0.00108,0.0829,0.413,97.424,178973,4
142203,Taylor McFerrin,4 am,5bxFvSZ9cwDZIxUGjlXpcx,22,2014,jazz,0.555,0.632,10,-12.367,0,0.0551,0.366,0.864,0.109,0.961,48.464,40549,4
142249,Taylor McFerrin,Invisible/Visible,2VcyLqseI60r4NXzoRTEpK,22,2014,jazz,0.492,0.317,6,-17.46,0,0.0958,0.485,0.803,0.623,0.167,85.01,263970,4
142292,Leslie Odom Jr.,The Party's Over,7ENWIvjTGgYJgd8tLoUgvN,18,2014,jazz,0.398,0.511,7,-10.203,0,0.0419,0.441,5.62e-06,0.11,0.436,166.564,192267,4
143180,The Pretty Reckless,Heaven Knows,04w73SmPfQkkmEpKbcrHOL,57,2014,metal,0.543,0.815,2,-3.712,1,0.0439,0.078,0.0,0.21,0.579,83.992,224533,4
143209,The Pretty Reckless,Going To Hell,1Lg55kAU7qG9y9IZ3jTaIG,45,2014,metal,0.567,0.992,6,-2.135,1,0.128,7.94e-05,0.00327,0.372,0.353,115.009,276053,4
143255,The Pretty Reckless,Follow Me Down,3o1zAeAvQgQFKzkrZOJD6V,41,2014,metal,0.431,0.806,3,-4.732,1,0.0764,0.0028,0.00256,0.237,0.378,144.044,280093,4
143274,The Pretty Reckless,Fucked Up World,7cb6cHPJwvxPZRZ3ZKCzfl,39,2014,metal,0.588,0.941,1,-3.691,1,0.103,3.48e-05,1.19e-05,0.0833,0.384,127.976,256653,4
143280,The Pretty Reckless,House On A Hill,41ryhONRomEaVAZUNolG7h,38,2014,metal,0.443,0.635,10,-5.378,0,0.0349,0.00215,0.0489,0.0999,0.135,127.997,279253,4
143283,The Pretty Reckless,Why'd You Bring A Shotgun To The Party,30m9pjWu14MN8bjvsYzpjS,37,2014,metal,0.737,0.781,2,-3.305,1,0.136,0.0062,5e-06,0.0735,0.695,130.055,200747,4
143309,The Pretty Reckless,Absolution,1niru8Cp9Wx8OpKRzsO4zr,35,2014,metal,0.595,0.729,1,-4.075,1,0.032,0.00144,0.0128,0.11,0.336,97.977,274067,4
143328,The Pretty Reckless,Sweet Things,4aIGbxfJeraZDwCLN5mssr,33,2014,metal,0.176,0.972,4,-3.838,1,0.247,2.9e-05,0.00657,0.392,0.29,77.515,304373,4
143352,The Pretty Reckless,Blame Me,3xGBB3KwYrSLPL5gJRMxTX,32,2014,metal,0.628,0.879,10,-3.783,0,0.0516,0.00184,0.000704,0.111,0.596,123.031,267000,4
143368,The Pretty Reckless,Burn,1hZAQKpTkJpeKivv7pVelT,31,2014,metal,0.386,0.42,10,-6.849,0,0.0286,0.501,0.0,0.261,0.237,83.374,108213,4
143441,The Pretty Reckless,Going To Hell - Acoustic,2Jk1ev4sVGDNFp3QZk2OoJ,27,2014,metal,0.516,0.583,6,-4.827,1,0.0273,0.289,0.0,0.0983,0.522,102.424,155587,4
148803,Bogdan Vix,Forever,49ificpFIblxqx79A6Soyr,25,2014,progressive-house,0.526,0.96,7,-4.964,0,0.0493,0.00139,0.573,0.081,0.214,133.996,223199,4
149637,SpecialThanks,LOVE GOOD TIME,6XYur2KmzwfpOJy23y8ZnO,39,2014,punk,0.38,0.92,7,-1.458,1,0.0668,0.0241,0.0,0.138,0.653,164.855,157573,4
154544,Leslie Odom Jr.,Last Man,2bOgtnuiK8ziFPA3Fe9xvx,24,2014,show-tunes,0.636,0.506,6,-7.826,0,0.0618,0.194,0.0,0.0918,0.21,91.903,221867,4
154557,Leslie Odom Jr.,I Know That You Know,5G7ktqLjOjN2EV18cuix8i,20,2014,show-tunes,0.435,0.676,0,-6.708,1,0.0302,0.0553,0.0266,0.181,0.359,115.999,262867,4
154803,André De Shields,So You Wanted to See the Wizard?,6ARUwAPVV9QY94LxBWfskb,3,2014,show-tunes,0.601,0.876,9,-5.712,1,0.335,0.059,5.5e-06,0.721,0.604,92.651,178947,4
155728,MxPx,Doing Time,1XDVbnesnQbAEJv4LA8gtq,21,2014,ska,0.436,0.56,5,-5.841,1,0.0314,0.0876,0.0,0.102,0.57,84.336,154177,4
155752,MxPx,Tomorrow is Another Day,3sQx5xIzkeCl7iujs7D5wq,18,2014,ska,0.586,0.871,8,-5.303,1,0.0981,0.0319,0.0,0.111,0.458,164.903,209331,4
155757,MxPx,You're On Fire,0aKdg97qDPJLY6fyhMEfHB,17,2014,ska,0.546,0.624,8,-4.985,1,0.0287,0.214,0.0,0.0488,0.531,147.965,233373,4
155758,MxPx,Punk Rawk Show,204RMQ1Aa8h6ZG4UztAv2a,19,2014,ska,0.683,0.885,11,-4.451,1,0.361,0.161,0.0,0.0648,0.662,146.995,150642,4
155794,MxPx,Let It Happen,6ywVn2Uhs6VXLupc0ZtQeu,16,2014,ska,0.672,0.766,10,-5.884,1,0.0351,0.0467,2.01e-05,0.0673,0.96,75.005,139123,4
155810,MxPx,For Always,72vE2W09lu84ScmUG7x3e7,15,2014,ska,0.571,0.443,1,-5.816,1,0.0303,0.209,0.0,0.0761,0.378,75.106,210298,4
155820,MxPx,My Mom Still Cleans My Room,3kdMsiPxpilmfgTyy7rHRT,14,2014,ska,0.584,0.508,3,-4.769,1,0.0277,0.138,0.0,0.0686,0.615,79.045,182367,4
155824,MxPx,Never Better Than Now,4P3NbTQDO00MeMkmSYP5MQ,16,2014,ska,0.626,0.485,6,-5.819,1,0.0302,0.323,0.0,0.131,0.376,137.948,207432,4
155837,MxPx,Secret Weapon,1vAUsSGNMCjy8nMT7EixHU,14,2014,ska,0.499,0.684,8,-6.327,0,0.0322,0.114,0.0,0.09,0.339,100.203,194013,4
155847,MxPx,Drowning,0MmscLHCJnVzAEMuLa1WV6,15,2014,ska,0.617,0.321,3,-8.166,1,0.031,0.0709,0.0,0.113,0.184,138.292,291191,4
155877,MxPx,Buildings Tumble,3pvoy7qg3ufLTuBRB9eKSp,13,2014,ska,0.569,0.685,6,-6.382,1,0.0309,0.0307,0.0,0.0958,0.6,153.958,205496,4
158262,bigott,Baby Lemonade,3Ag9BUji3MZ1peSLjsgaGG,20,2014,spanish,0.616,0.582,4,-10.224,0,0.0257,0.0231,0.377,0.123,0.281,108.133,216640,4
160393,John Cosani,Corea Del Sur,14TsYzcB12R3vhq4hid0PH,8,2014,trance,0.699,0.731,0,-13.538,1,0.0631,0.0135,0.919,0.112,0.0999,124.998,499200,4
160397,John Cosani,Alpha Geometry,7jLFLVW1sQeM5HvvcPho95,8,2014,trance,0.825,0.882,5,-8.15,0,0.113,0.00127,0.909,0.0883,0.453,124.99,498625,3
161311,Howie Day,She Says,4SUnD9ExKrZwolDMHCYzzH,34,2015,acoustic,0.438,0.489,0,-9.675,1,0.0314,0.484,7.03e-06,0.0993,0.239,93.0,274133,4
161493,Howie Day,Ghost,6pTSA4V8tKPRmDr1QkT4mY,24,2015,acoustic,0.672,0.456,4,-11.831,1,0.0378,0.537,0.0227,0.0781,0.472,146.125,326427,4
